domain	identity	targets	optimizer_effect	memory	access	provenance	ordering	failure	abi	obligation	witness	disposition	source_site
ir_instr	Mov	both	Pure	none	typed-value	typed-source	reorderable-if-dataflow	none	internal	preserve type width and bits	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.Mov
ir_instr	Alloc	both	MemoryWrite	write	checked-byte-count+alignment	fresh-arena-owner	effect-barrier	allocation-failure-abort	internal	check size overflow before allocation and establish owner lifetime	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.Alloc
ir_instr	AddrOf	both	Pure	none	address-only	live-place	reorderable-if-dataflow	none	internal	derive address without dereference and retain place provenance	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.AddrOf
ir_instr	Gep	both	Pure	none	scaled-offset-no-deref	base-provenance	reorderable-if-dataflow	deferred-deref-trap	internal	preserve scaled offset and downstream bounds dominance	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.Gep
ir_instr	OwnRoot	both	Pure	none	ownership-edge	fresh-private-root	proof-only	none	internal	new root must not alias a cleanup owner	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.OwnRoot
ir_instr	Load	both	MemoryRead	read	type-width+alignment	valid-initialized-referent	alias-guarded	invalid-raw-pointer-is-unsafe	internal	load only from initialized live range of the declared type	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.Load
ir_instr	LoadOwned	both	MemoryRead	read	type-width+alignment	checked-owner-edge	alias-guarded	none	internal	retain owner capability and forbid stale borrowed handles	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.LoadOwned
ir_instr	StoreOwned	both	MemoryWrite	write	type-width+alignment	checked-move-into-owner	effect-barrier	none	internal	move exactly once into fresh owned field	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.StoreOwned
ir_instr	StorePtr	both	MemoryWrite	write	type-width+alignment	unsafe-pointer	effect-barrier	invalid-pointer-is-unsafe	internal	caller proves range alignment initialization and lifetime	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.StorePtr
ir_instr	CopyBytes	both	MemoryWrite	read+write	explicit-byte-count	live-src+dst	effect-barrier	invalid-range-is-unsafe	internal	copy exact count without silently changing overlap semantics	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.CopyBytes
ir_instr	BoundsCheck	both	ControlFlow	none	index+length	checked-aggregate	trap-dominates-access	out-of-bounds-abort	internal	abort precedes every dependent memory access	scripts/verify-cross-mode-differential.sh	checked	src/compiler_ir_types.tl:CompilerIrInstr.BoundsCheck
ir_instr	Cast	both	Pure	none	source+target-width	typed-source	reorderable-if-dataflow	operator-specific	internal	preserve specified conversion and overflow behavior	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.Cast
ir_instr	Bitcast	both	Pure	none	equal-representation	typed-source	reorderable-if-dataflow	unsupported-shape-reject	internal	preserve bits and reject incompatible layouts	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.Bitcast
ir_instr	BinOp	both	Pure	none	operator-width	typed-operands	reorderable-if-dataflow	fatal-subset-owned-by-7608	internal	arithmetic edge conditions are not inferred from optimizer purity	src/tests/compiler_ir_types_smoke.tl	blocked:#7608	src/compiler_ir_types.tl:CompilerIrInstr.BinOp
ir_instr	UnOp	both	Pure	none	operator-width	typed-operand	reorderable-if-dataflow	none	internal	preserve width sign and floating behavior	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.UnOp
ir_instr	LaneId	both	Pure	none	lane-width	active-gang	mode-observable	none	spmd-private	result follows selected gang and lane identity	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.LaneId
ir_instr	Splat	both	Pure	none	element-width+lane-count	active-mask	mode-observable	operator-specific	spmd-private	inactive lanes cannot affect observable results	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.Splat
ir_instr	VectorBinOp	both	Pure	none	element-width+lane-count	active-mask	mode-observable	operator-specific	spmd-private	inactive lanes cannot affect observable results	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.VectorBinOp
ir_instr	VectorPrefix	both	Pure	none	lane-count+carry	active-mask	ordered-lanes	none	spmd-private	inclusive carry seed and lane order match scalar reference	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.VectorPrefix
ir_instr	VectorReduce	both	Pure	none	lane-count	active-mask	mode-observable	none	spmd-private	reduce only active lanes with specified tree	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.VectorReduce
ir_instr	VectorCompare	both	Pure	none	element-width+lane-count	active-mask	mode-observable	operator-specific	spmd-private	inactive lanes cannot affect observable results	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.VectorCompare
ir_instr	MaskBinOp	both	Pure	none	mask-width	active-mask	mode-observable	none	spmd-private	preserve mask truth and inactive-lane isolation	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.MaskBinOp
ir_instr	MaskNot	both	Pure	none	mask-width	active-mask	mode-observable	none	spmd-private	preserve mask truth and inactive-lane isolation	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.MaskNot
ir_instr	MaskReduce	both	Pure	none	mask-width	active-mask	mode-observable	none	spmd-private	preserve mask truth and inactive-lane isolation	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.MaskReduce
ir_instr	Select	both	Pure	none	element-width+lane-count	active-mask	mode-observable	operator-specific	spmd-private	inactive lanes cannot affect observable results	src/tests/compiler_ir_types_smoke.tl	checked	src/compiler_ir_types.tl:CompilerIrInstr.Select
ir_instr	VectorLoad	both	MemoryRead	read	element-width+lane-count	live-array	alias-guarded+all-lanes-active	bounds-abort-active-only	spmd-private	full-width access requires all lanes active; tails use predicated load	scripts/verify-cross-mode-differential.sh	checked	src/compiler_ir_types.tl:CompilerIrInstr.VectorLoad
