name	ir_count
benchmark/typelisp/arith_loop	5000000069
benchmark/c/arith_loop	500115543
benchmark/typelisp/array_sum	8404452297
benchmark/c/array_sum	2101425108
benchmark/typelisp/hashmap_churn	14787485
benchmark/c/hashmap_churn	4430221
benchmark/typelisp/hashmap_get	879756083
benchmark/c/hashmap_get	209785338
benchmark/typelisp/hashmap_grow	9890158
benchmark/c/hashmap_grow	2048611
benchmark/typelisp/hashmap_insert	189844412
benchmark/c/hashmap_insert	66066561
benchmark/typelisp/opt_bytecode_vm	1712001647
benchmark/c/opt_bytecode_vm	716120437
benchmark/typelisp/opt_crc32	1231654775
benchmark/c/opt_crc32	400812903
benchmark/typelisp/opt_quicksort	1009042947
benchmark/c/opt_quicksort	398486841
benchmark/typelisp/spmd_reduce	9834078016
benchmark/c/spmd_reduce	1693929378
self_compile/compile_cli_opt1	164100986359
