benchmark	mode	implementation	status	ir_count
spmd_map	scalar	typelisp	supported	15977470500
spmd_map	scalar	clang	supported	6760959400
spmd_map	avx2	typelisp	supported	4636281861
spmd_map	avx2	clang	supported	1155125362
spmd_zip	scalar	typelisp	supported	20895392083
spmd_zip	scalar	clang	supported	9218575788
spmd_zip	avx2	typelisp	supported	7712814744
spmd_zip	avx2	clang	supported	4227137655
spmd_reduce	scalar	typelisp	supported	1478413867
spmd_reduce	scalar	clang	supported	3381437887
spmd_reduce	avx2	typelisp	supported	1090237347
spmd_reduce	avx2	clang	supported	850921768
spmd_scan	scalar	typelisp	supported	8609137688
spmd_scan	scalar	clang	supported	4303640948
spmd_scan	avx2	typelisp	supported	9239464551
spmd_scan	avx2	clang	supported	4303633298
spmd_shuffle	scalar	typelisp	supported	12290750468
spmd_shuffle	scalar	clang	supported	5532146082
spmd_shuffle	avx2	typelisp	supported	18769290351
spmd_shuffle	avx2	clang	supported	847922822
spmd_short_tail	scalar	typelisp	supported	13019017459
spmd_short_tail	scalar	clang	supported	5513126900
spmd_short_tail	avx2	typelisp	supported	3852020305
spmd_short_tail	avx2	clang	supported	975118634
spmd_mask	scalar	typelisp	supported	13523754082
spmd_mask	scalar	clang	supported	9833559383
spmd_mask	avx2	typelisp	supported	42115674141
spmd_mask	avx2	clang	supported	1770724855
