variant	id_name	producer	target	abi	feature	render_kind	contribution_kind	entry_anchor	interior_anchors	end_anchor	terminal	events	event_count	expected_rendered_size	expected_rendered_hash
CommonProfile	common-profile	compiler_backend_runtime_common.tl:compiler-backend-runtime-profile-functions	0:AnyX64	0:InternalX64	4:Profile	0:Assembly	0:RuntimeFunctions	tl_profile_alloc_total	tl_profile_alloc_live\ntl_profile_alloc_peak\ntl_profile_alloc_reset_peak	tl_profile_alloc_reset_peak:end	1:Returns	R\nR\nR\nR	4	540	935303505
CommonStartupProfile	common-startup-profile	compiler_backend_runtime_common.tl:compiler-backend-runtime-startup-profile-functions	0:AnyX64	0:InternalX64	5:StartupProfile	0:Assembly	0:RuntimeFunctions	tl_startup_profile_process_entry_tick		tl_startup_profile_process_entry_tick:end	1:Returns	R	1	169	1614497857
LinuxRuntimeMemcpy	linux-runtime-memcpy	compiler_backend_runtime_linux.tl:compiler-backend-runtime-memcpy-functions	1:LinuxX64	1:SystemV	0:Always	0:Assembly	0:RuntimeFunctions	tl_memcpy	tl_memcpy_fresh\ntl_mem_copy_fwd\ntl_mem_copy8_fwd	tl_mem_copy8_fwd:end	1:Returns	B\nB\nR\nR\nB\nB\nB\nB\nR\nB\nB\nB\nB\nR\nR	15	1587	600366623
LinuxRuntimeMemchr	linux-runtime-memchr	compiler_backend_runtime_linux.tl:compiler-backend-runtime-memchr-functions	1:LinuxX64	1:SystemV	0:Always	0:Assembly	0:RuntimeFunctions	tl_memchr		tl_memchr:end	1:Returns	B\nB\nB\nR	4	385	1007425695
LinuxRuntimeMemFill8	linux-runtime-mem-fill8	compiler_backend_runtime_linux.tl:compiler-backend-runtime-mem-fill8-functions	1:LinuxX64	1:SystemV	0:Always	0:Assembly	0:RuntimeFunctions	tl_mem_fill8		tl_mem_fill8:end	1:Returns	B\nR	2	170	1994521549
LinuxRuntimeArrayZero	linux-runtime-array-zero	compiler_backend_runtime_linux.tl:compiler-backend-runtime-array-zero-functions	1:LinuxX64	1:SystemV	0:Always	0:Assembly	0:RuntimeFunctions	tl_array_zero		tl_array_zero:end	1:Returns	B\nB\nB\nB\nR\nR	6	534	158533835
LinuxRuntimeTlciImage	linux-runtime-tlci-image	compiler_backend_runtime_linux.tl:compiler-backend-runtime-tlci-entry-functions	1:LinuxX64	1:SystemV	0:Always	0:Assembly	2:TlciBridge	tl_tlci_call_image_entry		tl_tlci_call_image_entry:end	1:Returns	A:-8\nI:*%rax\nA:+8\nR	4	292	701999816
LinuxRuntimeTlciMacro	linux-runtime-tlci-macro	compiler_backend_runtime_linux.tl:compiler-backend-runtime-tlci-macro-entry-functions	1:LinuxX64	1:SystemV	6:TlciMacroEntry	0:Assembly	2:TlciBridge	tl_tlci_call_macro_entry		tl_tlci_call_macro_entry:end	1:Returns	D:8(%rsp)\nA:-8\nI:*%rax\nA:+8\nR	5	371	990000639
LinuxRuntimeBacktrace	linux-runtime-backtrace	compiler_backend_runtime_linux.tl:compiler-backend-runtime-backtrace-functions	1:LinuxX64	1:SystemV	7:Backtrace	0:Assembly	0:RuntimeFunctions	tl_backtrace_map_begin	tl_backtrace_map_end\ntl_backtrace_string_begin\ntl_backtrace_string_end\ntl_backtrace_frame_pointer\ntl_backtrace_stack_low_get\ntl_backtrace_stack_high_get\ntl_backtrace_stack_set	tl_backtrace_stack_set:end	1:Returns	R\nR\nR\nR\nR\nR\nR\nR	8	1855	1498741373
LinuxRuntimeArena	linux-runtime-arena	compiler_backend_runtime_linux.tl:compiler-backend-runtime-linux-arena-functions	1:LinuxX64	1:SystemV	0:Always	0:Assembly	0:RuntimeFunctions	tl_thread_init	tl_arena_current\ntl_arena_set\ntl_arena_poison_enable\ntl_arena_make\ntl_arena_make_small\ntl_arena_make_atomic\ntl_arena_destroy	tl_arena_destroy:end	6:Mixed	B\nB\nR\nR\nB\nB\nR\nR\nB\nB\nR\nB\nR\nS:%rbx\nS:%r12\nB\nB\nB\nB\nS:%r8\nB\nB\nU:%r8\nB\nB\nS:%r8\nB\nB\nU:%r8\nB\nU:%r12\nU:%rbx\nR	33	4629	113130973
LinuxRuntimeArenaDebug	linux-runtime-arena-debug	compiler_backend_runtime_linux.tl:compiler-backend-runtime-linux-arena-functions	1:LinuxX64	1:SystemV	8:ArenaDebug	0:Assembly	0:RuntimeFunctions	tl_arena_debug_protect_never_reset	tl_arena_debug_assert_pool_install\ntl_thread_init\ntl_arena_current\ntl_arena_set\ntl_arena_poison_enable\ntl_arena_make\ntl_arena_make_small\ntl_arena_make_atomic\ntl_arena_destroy	tl_arena_destroy:end	6:Mixed	B\nB\nB\nB\nR\nB\nB\nB\nR\nB\nR\nB\nB\nB\nB\nB\nB\nR\nT:tl_arena_debug_protect_abort\nB\nB\nB\nR\nB\nB\nR\nR\nB\nB\nR\nR\nB\nB\nA:-8\nC:.L_tl_arena_debug_register_root\nA:+8\nR\nB\nA:-8\nC:.L_tl_arena_debug_register_root\nA:+8\nR\nS:%rbx\nS:%r12\nB\nB\nB\nA:-8\nC:.L_tl_arena_debug_unregister_root\nA:+8\nB\nB\nS:%r8\nB\nB\nU:%r8\nB\nB\nS:%r8\nB\nB\nU:%r8\nB\nU:%r12\nU:%rbx\nR	66	7346	1440039368
