domain	identity	contract	witness	disposition
ir_instr	Mov	value_move	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	Alloc	allocate	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	AddrOf	address_of	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	Gep	gep	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	OwnRoot	own_root	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	Load	typed_load	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	LoadOwned	owned_load	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	StoreOwned	owned_store	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	StorePtr	raw_store	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	CopyBytes	copy_bytes	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	BoundsCheck	bounds_check	scripts/verify-cross-mode-differential.sh	checked
ir_instr	Cast	cast_value	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	Bitcast	bitcast_value	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	BinOp	binary_value	src/tests/compiler_ir_types_smoke.tl	blocked:#7608
ir_instr	UnOp	unary_value	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	LaneId	lane_id	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	Splat	simd_value	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	VectorBinOp	simd_value	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	VectorPrefix	simd_prefix	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	VectorReduce	simd_reduce	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	VectorCompare	simd_value	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	MaskBinOp	simd_mask	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	MaskNot	simd_mask	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	MaskReduce	simd_mask	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	Select	simd_value	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	VectorLoad	simd_load	scripts/verify-cross-mode-differential.sh	checked
ir_instr	VectorStore	simd_store	scripts/verify-cross-mode-differential.sh	checked
ir_instr	PredicatedStore	pred_store	scripts/verify-cross-mode-differential.sh	checked
ir_instr	PredicatedLoad	pred_load	scripts/verify-cross-mode-differential.sh	checked
ir_instr	GatherLoad	gather_load	scripts/verify-cross-mode-differential.sh	checked
ir_instr	VectorShuffle	vector_shuffle	scripts/verify-cross-mode-differential.sh	checked
ir_instr	TailMask	tail_mask	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	EntryArgc	entry_read	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	EntryArgv	entry_read	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	EntryEnvp	entry_read	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	CpuId	cpu_probe	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	Xgetbv	cpu_probe	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	Syscall	syscall	src/tests/compiler_backend_smoke.tl	checked
ir_instr	Call	internal_call	src/tests/compiler_ir_types_smoke.tl	blocked:#7608
ir_instr	CallIndirect	indirect_call	src/tests/compiler_ir_types_smoke.tl	blocked:#7608
ir_instr	CallIndirectC	foreign_call	src/tests/compiler_ir_types_smoke.tl	blocked:#7608
ir_instr	CallCAbiStoreResult	foreign_aggregate_call	src/tests/compiler_ir_types_smoke.tl	blocked:#7608
ir_instr	CallIndirectCAbiStoreResult	foreign_aggregate_call	src/tests/compiler_ir_types_smoke.tl	blocked:#7608
ir_instr	SpmdCall	spmd_call	src/tests/compiler_ir_types_smoke.tl	blocked:#7608
ir_instr	TailCall	tail_call	src/tests/compiler_ir_types_smoke.tl	blocked:#7608
ir_instr	Store	typed_store	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	Jump	control_flow	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	Branch	control_flow	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	TotalEnumBranch	control_flow	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	Return	return_value	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	Phi	phi_value	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	Pack	pack_words	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	Word	word_extract	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	TailCallIndirect	tail_call	src/tests/compiler_ir_types_smoke.tl	blocked:#7608
ir_instr	Switch	control_flow	src/tests/compiler_ir_types_smoke.tl	checked
ir_instr	TotalEnumSwitch	control_flow	src/tests/compiler_ir_types_smoke.tl	checked
ir_binop	Add	binary_pure	src/tests/compiler_ir_types_smoke.tl	checked
ir_binop	Sub	binary_pure	src/tests/compiler_ir_types_smoke.tl	checked
ir_binop	Mul	binary_pure	src/tests/compiler_ir_types_smoke.tl	checked
ir_binop	Div	binary_divrem	src/tests/compiler_ir_types_smoke.tl	blocked:#7608
ir_binop	Mod	binary_divrem	src/tests/compiler_ir_types_smoke.tl	blocked:#7608
ir_binop	SafeDiv	binary_divrem	src/tests/compiler_ir_types_smoke.tl	blocked:#7608
ir_binop	SafeMod	binary_divrem	src/tests/compiler_ir_types_smoke.tl	blocked:#7608
ir_binop	Eq	binary_pure	src/tests/compiler_ir_types_smoke.tl	checked
ir_binop	Ne	binary_pure	src/tests/compiler_ir_types_smoke.tl	checked
ir_binop	Lt	binary_pure	src/tests/compiler_ir_types_smoke.tl	checked
ir_binop	Le	binary_pure	src/tests/compiler_ir_types_smoke.tl	checked
ir_binop	Gt	binary_pure	src/tests/compiler_ir_types_smoke.tl	checked
ir_binop	Ge	binary_pure	src/tests/compiler_ir_types_smoke.tl	checked
ir_binop	BitTestEq	binary_pure	src/tests/compiler_ir_types_smoke.tl	checked
ir_binop	BitTestNe	binary_pure	src/tests/compiler_ir_types_smoke.tl	checked
ir_binop	And	binary_pure	src/tests/compiler_ir_types_smoke.tl	checked
ir_binop	Or	binary_pure	src/tests/compiler_ir_types_smoke.tl	checked
ir_binop	BitAnd	binary_pure	src/tests/compiler_ir_types_smoke.tl	checked
ir_binop	BitOr	binary_pure	src/tests/compiler_ir_types_smoke.tl	checked
ir_binop	BitXor	binary_pure	src/tests/compiler_ir_types_smoke.tl	checked
ir_binop	Shl	binary_shift	src/tests/compiler_ir_types_smoke.tl	blocked:#7608
ir_binop	Shr	binary_shift	src/tests/compiler_ir_types_smoke.tl	blocked:#7608
ir_unop	Neg	unary_op	src/tests/compiler_ir_types_smoke.tl	checked
ir_unop	Not	unary_op	src/tests/compiler_ir_types_smoke.tl	checked
ir_unop	BitNot	unary_op	src/tests/compiler_ir_types_smoke.tl	checked
