domain	enum	source
ir_instr	CompilerIrInstr	src/compiler_ir_types.tl
ir_binop	CompilerIrBinOp	src/compiler_ir_types.tl
ir_unop	CompilerIrUnOp	src/compiler_ir_types.tl
ir_mask_binop	CompilerIrMaskBinOp	src/compiler_ir_types.tl
ir_vector_reduce	CompilerIrVectorReduceOp	src/compiler_ir_types.tl
ir_vector_prefix	CompilerIrVectorPrefixOp	src/compiler_ir_types.tl
ir_mask_reduce	CompilerIrMaskReduceOp	src/compiler_ir_types.tl
ir_spmd_backend	CompilerIrSpmdBackend	src/compiler_ir_types.tl
ir_spmd_class	CompilerIrSpmdValueClass	src/compiler_ir_types.tl
ir_c_return	CompilerIrCAbiReturnSlot	src/compiler_ir_types.tl
lower_c_eightbyte	LowerCAbiEightbyteClass	src/compiler_lower.tl
lower_c_aggregate	LowerCAbiAggregate	src/compiler_lower.tl
object_instr	CompilerObjectX64Instr	src/compiler_object.tl
object_data	CompilerObjectDataRecord	src/compiler_object.tl
object_reloc	CompilerObjectRelocationKind	src/compiler_object.tl
object_section	CompilerObjectSectionKind	src/compiler_object.tl
object_binding	CompilerObjectSymbolBinding	src/compiler_object.tl
object_symbol	CompilerObjectSymbolKind	src/compiler_object.tl
target_abi	CompilerRegTargetAbi	src/compiler_abi.tl
backend_target	CompilerBackendTarget	src/compiler_backend.tl
backend_mode	CompilerBackendMode	src/compiler_backend.tl
object_abi_context	CompilerBackendObjectAbiContext	src/compiler_backend.tl
reg_scratch_class	CompilerRegScratchClass	src/compiler_regalloc.tl
reg_scratch_role	CompilerRegScratchRole	src/compiler_regalloc.tl
