# identity	declared-params	shape	result	fixture	native-status	fuel	comparison
stdlib.clone/clone-fixed-array	6	variadic	expr	tests/integration/explicit_clone_generation.tl	ok	default	assembly
stdlib.clone/clone-tuple	6	variadic	expr	tests/integration/explicit_clone_generation.tl	ok	default	assembly
stdlib.clone/clone-nominal-value	4	fixed	expr	tests/integration/explicit_clone_generation.tl	ok	default	assembly
stdlib.clone/clone-value	4	fixed	expr	tests/integration/explicit_clone_generation.tl	ok	default	assembly
stdlib.clone/clone-struct-root	2	fixed	expr	tests/integration/explicit_clone_generation.tl	ok	default	assembly
stdlib.clone/clone-enum-root	2	fixed	expr	tests/integration/explicit_clone_generation.tl	ok	default	assembly
stdlib.clone/gen-clone	1	fixed	decls	tests/integration/explicit_clone_generation.tl	ok	default	assembly
stdlib.clone/synthesize-helpers	1	variadic	decls	tests/integration/clone_deep_copy.tl	ok	default	assembly
stdlib.core_macros/__tl-compiler-owned-shared-view-dyn-ref-as	2	fixed	expr	tests/integration/tlci_identity_owned_views.tl	ok	default	assembly
stdlib.core_macros/__tl-project-field	2	fixed	expr	tests/integration/tlci_native_index_folds.tl	ok	default	assembly
stdlib.core_macros/__tl-project-set-field	3	fixed	expr	tests/integration/tlci_identity_public_gaps.tl	ok	default	assembly
stdlib.core_macros/__tl-project-field-name	2	fixed	expr	tests/integration/generated_hashmap_global_mutation.tl	ok	default	assembly
stdlib.core_macros/__tl-project-set-field-name	3	fixed	expr	tests/integration/generated_hashmap_global_mutation.tl	ok	default	assembly
stdlib.core_macros/__tl-box-place	1	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.core_macros/and	1	variadic	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.core_macros/or	1	variadic	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.core_macros/when	2	variadic	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.core_macros/unless	2	variadic	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.core_macros/cond	1	variadic	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.core_macros/for	2	variadic	expr	tests/integration/for_macro.tl	ok	default	assembly
stdlib.dense_list/compiler-dense-list-operations	7	variadic	decls	tests/integration/dense_list_generated.tl	ok	default	assembly
stdlib.eq/eq-shared-view	1	fixed	expr	tests/integration/stdlib_eq_aggregate.tl	ok	default	assembly
stdlib.eq/struct-eq-fields	4	fixed	expr	tests/integration/stdlib_hash_generated.tl	ok	default	assembly
stdlib.eq/tuple-eq-elements	4	fixed	expr	tests/integration/stdlib_eq_aggregate.tl	ok	default	assembly
stdlib.eq/inline-fixed-array-eq	4	fixed	expr	tests/integration/stdlib_eq_aggregate.tl	ok	default	assembly
stdlib.eq/inline-eq	3	fixed	expr	tests/integration/stdlib_hash_generated.tl	ok	default	assembly
stdlib.eq/enum-eq-payloads	3	fixed	expr	tests/integration/stdlib_hash_generated.tl	ok	default	assembly
stdlib.eq/enum-eq-dispatch	4	fixed	expr	tests/integration/stdlib_hash_generated.tl	ok	default	assembly
stdlib.eq/eq	1	fixed	module	tests/integration/stdlib_eq_aggregate.tl	ok	default	assembly
stdlib.fs/path-join-many	1	variadic	expr	tests/integration/tlci_native_index_folds.tl	ok	default	assembly
stdlib.fs/path-join-fold	3	fixed	expr	tests/integration/tlci_native_index_folds.tl	ok	default	assembly
stdlib.format/format-value-resolved	14	fixed	expr	tests/integration/format_arguments.tl	ok	default	assembly
stdlib.format/format-classified-call	16	fixed	expr	tests/integration/format_arguments.tl	ok	default	assembly
stdlib.format/format-classify-precision	15	fixed	expr	tests/integration/format_arguments.tl	ok	default	assembly
stdlib.format/format-classify-width	14	fixed	expr	tests/integration/format_arguments.tl	ok	default	assembly
stdlib.format/format-classify-value	13	fixed	expr	tests/integration/format_arguments.tl	ok	default	assembly
stdlib.format/format-value	11	fixed	expr	tests/integration/tlci_native_format_scanner.tl	ok	default	assembly
